date,volume_mt,bituminous_mt,other_coal_mt,lignite_mt,headline_coal_mt,total_coal_and_lignite_mt,value_usd,seaborne_mt,top_destination_1,top_destination_2,top_destination_3,source_url,publisher,source_quote,method
2025-02-01,41.45,5.44,25.38,10.63,30.82,41.45,2558279489.98,41.45,China 15.71 Mt (37.9%),India 9.01 Mt (21.7%),Philippines 2.94 Mt (7.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-03-01,40.94,4.55,26.18,10.21,30.73,40.94,2425858610.96,40.94,China 15.33 Mt (37.5%),India 8.95 Mt (21.9%),Philippines 2.95 Mt (7.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-04-01,38.71,4.47,26.33,7.9,30.81,38.71,2299516273.62,38.71,China 11.89 Mt (30.7%),India 10.76 Mt (27.8%),Philippines 3.39 Mt (8.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-05-01,41.93,5.12,28.48,8.33,33.6,41.93,2459800241.48,41.93,China 13.4 Mt (31.9%),India 10.22 Mt (24.4%),Philippines 3.86 Mt (9.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-06-01,34.94,5.09,22.74,7.11,27.83,34.94,2012201935.67,34.94,China 11.1 Mt (31.8%),India 7.42 Mt (21.2%),Philippines 2.93 Mt (8.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-07-01,41.7,6.24,24.28,11.18,30.52,41.7,2286196592.11,41.7,China 16.53 Mt (39.6%),India 6.91 Mt (16.6%),Japan 3.01 Mt (7.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-08-01,49.17,6.15,30.26,12.75,36.42,49.17,2584370840.25,49.17,China 20.9 Mt (42.5%),India 8.51 Mt (17.3%),South Korea 3.72 Mt (7.6%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-09-01,45.55,6.08,28.02,11.45,34.1,45.55,2512486179.25,45.55,China 19.16 Mt (42.1%),India 8.93 Mt (19.6%),Philippines 3.05 Mt (6.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-10-01,47.83,6.26,28.98,12.59,35.24,47.83,2674227685.21,47.83,China 21.22 Mt (44.4%),India 7.69 Mt (16.1%),Philippines 3.1 Mt (6.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-11-01,49.36,5.58,28.6,15.19,34.17,49.36,2728663277.29,49.36,China 25.43 Mt (51.5%),India 7.06 Mt (14.3%),Philippines 2.88 Mt (5.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-12-01,51.2,6.91,29.37,14.92,36.28,51.2,2992553226.49,51.2,China 25.53 Mt (49.9%),India 7.37 Mt (14.4%),Japan 3.31 Mt (6.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2026-01-01,39.56,5.11,24.43,10.03,29.54,39.56,2250578510.4,39.56,China 16.31 Mt (41.2%),India 7.05 Mt (17.8%),Philippines 3.17 Mt (8.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2026-02-01,36.58,3.89,22.96,9.73,26.85,36.58,2088876999.59,36.58,China 14.23 Mt (38.9%),India 7.35 Mt (20.1%),Philippines 2.58 Mt (7.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2026-03-01,37.6,5.11,24.37,8.13,29.48,37.6,2425884682.64,37.6,China 12.07 Mt (32.1%),India 7.81 Mt (20.8%),Viet Nam 3.16 Mt (8.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2026-04-01,37.33,3.9,24.76,8.67,28.67,37.33,2527175711.97,37.33,China 11.38 Mt (30.5%),India 8.23 Mt (22.1%),Viet Nam 3.73 Mt (10.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2026-05-01,40.49,3.95,25.08,11.47,29.03,40.49,2822600265.4,40.49,China 16.56 Mt (40.9%),India 6.43 Mt (15.9%),Philippines 3.38 Mt (8.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2026-06-01,40.07,4.28,24.61,11.18,28.89,40.07,2963337174.3,40.07,China 16.78 Mt (41.9%),India 6.33 Mt (15.8%),Philippines 3.36 Mt (8.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2026-07-01,38.94,5.5,23.52,9.91,29.02,38.94,3026955233.82,38.94,China 14.17 Mt (36.4%),India 6.42 Mt (16.5%),Philippines 3.39 Mt (8.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
